FIPS,crime,arrest_count_white,arrest_count_black,arrest_count_asian,arrest_count_hispanic
01003,property,124.0,57.0,0.0,0.0
01003,violent,17.0,20.0,0.0,0.0
01003,weapon,6.0,1.0,0.0,0.0
01005,property,3.0,12.0,0.0,0.0
01005,violent,2.0,8.0,0.0,0.0
01005,weapon,2.0,1.0,0.0,0.0
01007,property,30.0,10.0,0.0,0.0
01007,violent,4.0,6.0,0.0,0.0
01007,weapon,0.0,2.0,0.0,0.0
01009,property,26.0,4.0,0.0,0.0
01009,violent,5.0,0.0,0.0,0.0
01009,weapon,0.0,1.0,0.0,0.0
01011,property,0.0,9.0,0.0,0.0
01011,violent,1.0,7.0,0.0,0.0
01011,weapon,0.0,4.0,0.0,0.0
01013,property,30.0,37.0,0.0,0.0
01013,violent,4.0,15.0,0.0,0.0
01013,weapon,1.0,2.0,0.0,0.0
01015,property,75.0,19.0,0.0,0.0
01015,violent,13.0,19.0,1.0,0.0
01015,weapon,3.0,1.0,0.0,0.0
01017,property,4.0,19.0,0.0,0.0
01017,violent,3.0,10.0,0.0,0.0
01017,weapon,0.0,5.0,0.0,0.0
01019,property,35.0,3.0,0.0,0.0
01019,violent,5.0,0.0,0.0,0.0
01021,property,25.0,5.0,0.0,0.0
01021,violent,0.0,2.0,0.0,0.0
01021,weapon,1.0,0.0,0.0,0.0
01023,property,7.0,3.0,0.0,0.0
01023,violent,1.0,5.0,0.0,0.0
01023,weapon,0.0,1.0,0.0,0.0
01025,property,5.0,3.0,0.0,0.0
01025,violent,8.0,21.0,0.0,0.0
01025,weapon,1.0,3.0,0.0,0.0
01027,property,12.0,18.0,0.0,0.0
01027,violent,6.0,14.0,0.0,0.0
01029,property,8.0,0.0,0.0,0.0
01031,property,28.0,16.0,0.0,0.0
01031,violent,5.0,4.0,0.0,0.0
01031,weapon,2.0,0.0,0.0,0.0
01033,drug,3.0,9.0,0.0,0.0
01033,property,141.0,68.0,0.0,0.0
01033,violent,19.0,9.0,0.0,0.0
01033,weapon,9.0,5.0,0.0,0.0
01035,property,7.0,13.0,0.0,0.0
01035,violent,1.0,5.0,0.0,0.0
01035,weapon,0.0,1.0,0.0,0.0
01037,property,28.0,8.0,0.0,0.0
01037,violent,1.0,3.0,0.0,0.0
01037,weapon,0.0,1.0,0.0,0.0
01039,property,37.0,19.0,0.0,0.0
01039,violent,13.0,14.0,0.0,0.0
01039,weapon,2.0,0.0,0.0,0.0
01041,property,25.0,6.0,0.0,0.0
01041,violent,17.0,7.0,0.0,0.0
01041,weapon,1.0,2.0,0.0,0.0
01043,property,23.0,0.0,0.0,0.0
01043,violent,5.0,0.0,0.0,0.0
01043,weapon,3.0,0.0,0.0,0.0
01045,property,52.0,19.0,0.0,0.0
01045,violent,12.0,7.0,0.0,0.0
01045,weapon,5.0,2.0,0.0,0.0
01047,property,16.0,82.0,0.0,0.0
01047,violent,2.0,31.0,0.0,0.0
01047,weapon,0.0,3.0,0.0,0.0
01049,property,31.0,3.0,0.0,0.0
01049,violent,1.0,2.0,0.0,0.0
01049,weapon,2.0,0.0,0.0,0.0
01051,property,0.0,2.0,0.0,0.0
01051,violent,3.0,1.0,0.0,0.0
01053,property,34.0,15.0,0.0,0.0
01053,violent,8.0,8.0,0.0,0.0
01053,weapon,1.0,4.0,0.0,0.0
01055,drug,33.0,57.0,0.0,0.0
01055,property,64.0,17.0,0.0,0.0
01055,violent,7.0,5.0,0.0,0.0
01055,weapon,3.0,4.0,0.0,0.0
01057,property,16.0,8.0,0.0,0.0
01057,violent,6.0,3.0,0.0,0.0
01059,property,11.0,0.0,0.0,0.0
01059,violent,3.0,0.0,0.0,0.0
01061,property,18.0,6.0,0.0,0.0
01061,violent,2.0,5.0,0.0,0.0
01061,weapon,2.0,0.0,0.0,0.0
01063,drug,0.0,3.0,0.0,0.0
01063,property,2.0,17.0,0.0,0.0
01063,violent,0.0,12.0,0.0,0.0
01063,weapon,0.0,3.0,0.0,0.0
01065,property,9.0,7.0,0.0,0.0
01065,violent,6.0,8.0,0.0,0.0
01065,weapon,3.0,2.0,0.0,0.0
01067,property,5.0,8.0,1.0,0.0
01067,violent,1.0,1.0,0.0,0.0
01069,property,6.0,3.0,0.0,0.0
01069,violent,1.0,2.0,0.0,0.0
01071,property,32.0,4.0,0.0,0.0
01071,violent,2.0,2.0,0.0,0.0
01071,weapon,1.0,1.0,0.0,0.0
